Film Tickness 1,Film Tickness 2,Film Tickness 3,Film Tickness 4,X,Y,Time,Reflectance
54415.994,0,0,0,72,-124.71,2021/3/5 下午 02:43:55,14111.427
54428.251,0,0,0,96.35,-107.01,2021/3/5 下午 02:43:56,14148.052
54460.895,0,0,0,116.5,-84.64,2021/3/5 下午 02:43:58,14150.093
56477.038,0,0,0,131.55,-58.57,2021/3/5 下午 02:43:59,14119.143
54421.351,0,0,0,140.85,-29.94,2021/3/5 下午 02:44:01,14204.9
54638.579,0,0,0,-10.7,11.25,2021/3/5 下午 02:44:04,13905.989
Standard Deviation,769.93,nan,nan,nan,nan,nan,nan
Average,54954.8,nan,nan,nan,nan,nan,nan
Uniformity,98.599,nan,nan,nan,nan,nan,nan
Max,56477.038,nan,nan,nan,nan,nan,nan
Min,54210.831,nan,nan,nan,nan,nan,nan
Max - Min,2266.207,nan,nan,nan,nan,nan,nan
